Protein(s)	Protein Description(s)	Sequence Coverage	PSMs	NSAF	Distinct Peptides	Unique Peptides	Protein Group Number
gi|457864467|emb|CCP37706.1|,gi|457864473|emb|CCP37709.1|,gi|457864463|emb|CCP37704.1|,gi|457864477|emb|CCP37711.1|,gi|457864471|emb|CCP37708.1|,gi|457864465|emb|CCP37705.1|,gi|457864469|emb|CCP37707.1|,gi|457864459|emb|CCP37702.1|,gi|457864461|emb|CCP37703.1|,gi|457864475|emb|CCP37710.1|	RuBisCO, partial [Thalassiosira pseudonana]	0.493	869	0.007	40	2	1
gi|98990583|gb|ABF60359.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.489	869	0.007	40	2	1
gi|329343092|gb|AEB91175.1|,gi|125987521|sp|A0T0N6.1|RBL_THAPS,gi|224015740|ref|XP_002297518.1|,gi|220967782|gb|EED86158.1|,gi|98990549|gb|ABF60342.1|,gi|2451390273|gb|WEA82721.1|,gi|118411104|ref|YP_874498.1|,gi|116739851|gb|ABK20721.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Thalassiosira pseudonana],RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit,ribulose-bisphosphate carboxylase, large subunit or chain, chloroplast, RuBisCo [Thalassiosira pseudonana CCMP1335],ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.482	869	0.007	40	2	1
gi|2050584475|gb|QWM93016.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Thalassiosira pseudonana]	0.447	825	0.007	38	0	2
gi|2414125445|gb|WAS08306.1|	ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Thalassiosira pseudonana]	0.469	633	0.009	22	0	3
gi|224015794|ref|XP_002297545.1|,gi|2599405793|pdb|8IWH|B,gi|220967809|gb|EED86185.1|,gi|116739860|gb|ABK20730.1|,gi|118411113|ref|YP_874507.1|,gi|2050584466|gb|QWM93007.1|,gi|2599405838|pdb|8IWH|b	predicted protein [Thalassiosira pseudonana CCMP1335],Chain B, Photosystem II CP47 reaction center protein,photosystem II chlorophyll A core antenna apoprotein (chloroplast) [Thalassiosira pseudonana],photosystem II 47 kDa protein (chloroplast) [Thalassiosira pseudonana],CP47 chlorophyll apoprotein of photosystem II (chloroplast) [Thalassiosira pseudonana],Chain b, Photosystem II CP47 reaction center protein	0.395	603	0.005	34	34	4
gi|224005154|ref|XP_002296228.1|,gi|209586260|gb|ACI64945.1|	predicted protein [Thalassiosira pseudonana CCMP1335]	0.880	571	0.005	58	51	5
gi|125987721|sp|A0T0R6.1|ATPB_THAPS,gi|224015776|ref|XP_002297536.1|,gi|118411134|ref|YP_874528.1|,gi|2050584445|gb|QWM92986.1|,gi|116739881|gb|ABK20751.1|,gi|220967800|gb|EED86176.1|	RecName: Full=ATP synthase subunit beta, chloroplastic; AltName: Full=ATP synthase F1 sector subunit beta; AltName: Full=F-ATPase subunit beta,predicted protein [Thalassiosira pseudonana CCMP1335],ATP synthase CF1 beta subunit (chloroplast) [Thalassiosira pseudonana],CF1 beta subunit of ATP synthase (chloroplast) [Thalassiosira pseudonana],ATP synthase CF1 beta chain (chloroplast) [Thalassiosira pseudonana]	0.886	558	0.005	49	4	6
gi|817091128|gb|AKF18168.1|	ATP synthase beta subunit, partial (chloroplast) [Thalassiosira pseudonana]	0.865	523	0.005	45	0	7
gi|209586115|gb|ACI64800.1|,gi|224004864|ref|XP_002296083.1|	acetyl-coa carboxylase [Thalassiosira pseudonana CCMP1335]	0.681	517	1.00e-3	151	151	8
