Protein(s)	Protein Description(s)	Sequence Coverage	PSMs	NSAF	Distinct Peptides	Unique Peptides	Protein Group Number
AAZ28476.1,sp|Q47UU9.1|EFTU_COLP3,AAZ27365.1,WP_011045489.1	translation elongation factor Tu [Colwellia psychrerythraea 34H],RecName: Full=Elongation factor Tu; Short=EF-Tu,MULTISPECIES: elongation factor Tu [Colwellia]	0.970	1,018	0.011	62	60	1
WP_011045494.1,sp|Q47UV9.1|RPOB_COLP3,AAZ24907.1	DNA-directed RNA polymerase subunit beta [Colwellia psychrerythraea],RecName: Full=DNA-directed RNA polymerase subunit beta; Short=RNAP subunit beta; AltName: Full=RNA polymerase subunit beta; AltName: Full=Transcriptase subunit beta,DNA-directed RNA polymerase, beta subunit [Colwellia psychrerythraea 34H]	0.807	921	0.003	172	168	2
sp|Q47UW0.1|RPOC_COLP3,WP_011045493.1,AAZ25655.1	RecName: Full=DNA-directed RNA polymerase subunit beta'; Short=RNAP subunit beta'; AltName: Full=RNA polymerase subunit beta'; AltName: Full=Transcriptase subunit beta',DNA-directed RNA polymerase subunit beta' [Colwellia psychrerythraea],DNA-directed RNA polymerase, beta' subunit [Colwellia psychrerythraea 34H]	0.752	774	0.002	147	144	3
AAZ24405.1,WP_011043149.1	ribosomal protein S1 [Colwellia psychrerythraea 34H],MULTISPECIES: 30S ribosomal protein S1 [Colwellia]	0.848	639	0.005	77	77	4
WP_011044570.1,sp|Q47XI6.1|DNAK2_COLP3,AAZ27124.1	MULTISPECIES: molecular chaperone DnaK [Colwellia],RecName: Full=Chaperone protein DnaK 2; AltName: Full=HSP70 2; AltName: Full=Heat shock 70 kDa protein 2; AltName: Full=Heat shock protein 70 2,chaperone protein DnaK [Colwellia psychrerythraea 34H]	0.727	617	0.004	77	75	5
WP_041737171.1	MULTISPECIES: TAT-dependent nitrous-oxide reductase [Colwellia]	0.700	548	0.004	86	86	6
AAZ27785.1	nitrous-oxide reductase [Colwellia psychrerythraea 34H]	0.718	548	0.004	86	86	6
WP_011041800.1,sp|Q487Q9.1|CH60_COLP3,AAZ25956.1	MULTISPECIES: chaperonin GroEL [Colwellia],RecName: Full=Chaperonin GroEL; AltName: Full=60 kDa chaperonin; AltName: Full=Chaperonin-60; Short=Cpn60,chaperone protein GroEL [Colwellia psychrerythraea 34H]	0.858	541	0.004	83	83	7
gi|39794653|gb|AAH63697.1|	(CONTAMINANT) Keratin 1 [Homo sapiens]	0.686	531	0.004	72	2	8
sp|Q487Z1.1|EFG1_COLP3,WP_011041724.1,AAZ25882.1	RecName: Full=Elongation factor G 1; Short=EF-G 1,elongation factor G [Colwellia psychrerythraea],translation elongation factor G [Colwellia psychrerythraea 34H]	0.753	530	0.003	81	81	9
AAZ26635.1,sp|Q48AW0.1|ATPB_COLP3,WP_011040937.1	ATP synthase F1, beta subunit [Colwellia psychrerythraea 34H],RecName: Full=ATP synthase subunit beta; AltName: Full=ATP synthase F1 sector subunit beta; AltName: Full=F-ATPase subunit beta,MULTISPECIES: F0F1 ATP synthase subunit beta [Colwellia]	0.948	529	0.005	61	61	10
gi|1346343|sp|P04264|K2C1_HUMAN	(CONTAMINANT) Keratin, type II cytoskeletal 1 (Cytokeratin 1) (K1) (CK 1) (67 kDa cytokeratin) (Hair alpha protein)	0.672	519	0.003	70	0	11
AAZ26751.1,WP_011045521.1	putative aconitate hydratase [Colwellia psychrerythraea 34H],bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Colwellia psychrerythraea]	0.741	490	0.002	92	92	12
