Protein(s)	Protein Description(s)	Sequence Coverage	PSMs	NSAF	Distinct Peptides	Unique Peptides	Protein Group Number
AAZ28476.1,sp|Q47UU9.1|EFTU_COLP3,AAZ27365.1,WP_011045489.1	translation elongation factor Tu [Colwellia psychrerythraea 34H],RecName: Full=Elongation factor Tu; Short=EF-Tu,MULTISPECIES: elongation factor Tu [Colwellia]	0.952	938	0.010	54	52	1
WP_011045494.1,sp|Q47UV9.1|RPOB_COLP3,AAZ24907.1	DNA-directed RNA polymerase subunit beta [Colwellia psychrerythraea],RecName: Full=DNA-directed RNA polymerase subunit beta; Short=RNAP subunit beta; AltName: Full=RNA polymerase subunit beta; AltName: Full=Transcriptase subunit beta,DNA-directed RNA polymerase, beta subunit [Colwellia psychrerythraea 34H]	0.823	875	0.003	153	150	2
sp|Q47UW0.1|RPOC_COLP3,WP_011045493.1,AAZ25655.1	RecName: Full=DNA-directed RNA polymerase subunit beta'; Short=RNAP subunit beta'; AltName: Full=RNA polymerase subunit beta'; AltName: Full=Transcriptase subunit beta',DNA-directed RNA polymerase subunit beta' [Colwellia psychrerythraea],DNA-directed RNA polymerase, beta' subunit [Colwellia psychrerythraea 34H]	0.769	861	0.002	141	139	3
AAZ24405.1,WP_011043149.1	ribosomal protein S1 [Colwellia psychrerythraea 34H],MULTISPECIES: 30S ribosomal protein S1 [Colwellia]	0.810	570	0.004	69	69	4
WP_011044570.1,sp|Q47XI6.1|DNAK2_COLP3,AAZ27124.1	MULTISPECIES: molecular chaperone DnaK [Colwellia],RecName: Full=Chaperone protein DnaK 2; AltName: Full=HSP70 2; AltName: Full=Heat shock 70 kDa protein 2; AltName: Full=Heat shock protein 70 2,chaperone protein DnaK [Colwellia psychrerythraea 34H]	0.727	570	0.004	71	69	5
AAZ26635.1,sp|Q48AW0.1|ATPB_COLP3,WP_011040937.1	ATP synthase F1, beta subunit [Colwellia psychrerythraea 34H],RecName: Full=ATP synthase subunit beta; AltName: Full=ATP synthase F1 sector subunit beta; AltName: Full=F-ATPase subunit beta,MULTISPECIES: F0F1 ATP synthase subunit beta [Colwellia]	0.939	535	0.005	60	60	6
WP_041737171.1	MULTISPECIES: TAT-dependent nitrous-oxide reductase [Colwellia]	0.697	497	0.003	76	76	7
AAZ27785.1	nitrous-oxide reductase [Colwellia psychrerythraea 34H]	0.715	497	0.003	76	76	7
WP_011043026.1,CAR80208.1,CBX83666.1,sp|Q482T5.1|PNP_COLP3,AAZ24926.1	MULTISPECIES: polyribonucleotide nucleotidyltransferase [Colwellia],unnamed protein product [Colwellia psychrerythraea 34H],RecName: Full=Polyribonucleotide nucleotidyltransferase; AltName: Full=Polynucleotide phosphorylase; Short=PNPase,polyribonucleotide nucleotidyltransferase [Colwellia psychrerythraea 34H]	0.687	486	0.003	67	67	8
sp|Q487Z1.1|EFG1_COLP3,WP_011041724.1,AAZ25882.1	RecName: Full=Elongation factor G 1; Short=EF-G 1,elongation factor G [Colwellia psychrerythraea],translation elongation factor G [Colwellia psychrerythraea 34H]	0.716	459	0.003	63	63	9
AAZ26549.1,WP_011044510.1	TonB-dependent receptor [Colwellia psychrerythraea 34H],TonB-dependent receptor plug domain-containing protein [Colwellia psychrerythraea]	0.705	448	0.002	50	50	10
AAZ26751.1,WP_011045521.1	putative aconitate hydratase [Colwellia psychrerythraea 34H],bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase [Colwellia psychrerythraea]	0.768	439	0.002	75	75	11
WP_011041800.1,sp|Q487Q9.1|CH60_COLP3,AAZ25956.1	MULTISPECIES: chaperonin GroEL [Colwellia],RecName: Full=Chaperonin GroEL; AltName: Full=60 kDa chaperonin; AltName: Full=Chaperonin-60; Short=Cpn60,chaperone protein GroEL [Colwellia psychrerythraea 34H]	0.810	416	0.003	62	62	12
sp|Q48AW2.1|ATPA_COLP3,AAZ26667.1,WP_011040935.1	RecName: Full=ATP synthase subunit alpha; AltName: Full=ATP synthase F1 sector subunit alpha; AltName: Full=F-ATPase subunit alpha,ATP synthase F1, alpha subunit [Colwellia psychrerythraea 34H],MULTISPECIES: F0F1 ATP synthase subunit alpha [Colwellia]	0.750	414	0.003	47	45	13
AAZ25602.1,WP_011044951.1	nitrite reductase [Colwellia psychrerythraea 34H],cytochrome D1 domain-containing protein [Colwellia psychrerythraea]	0.766	410	0.003	55	55	14
sp|Q482T9.1|IF2_COLP3,WP_011043022.1,AAZ24660.1	RecName: Full=Translation initiation factor IF-2,MULTISPECIES: translation initiation factor IF-2 [Colwellia],translation initiation factor IF-2 [Colwellia psychrerythraea 34H]	0.708	409	0.002	81	81	15
AAZ27305.1,WP_011042113.1,sp|Q486J6.1|GCSP1_COLP3	glycine dehydrogenase [Colwellia psychrerythraea 34H],aminomethyl-transferring glycine dehydrogenase [Colwellia psychrerythraea],RecName: Full=Glycine dehydrogenase (decarboxylating) 1; AltName: Full=Glycine cleavage system P-protein 1; AltName: Full=Glycine decarboxylase 1; AltName: Full=Glycine dehydrogenase (aminomethyl-transferring) 1	0.709	402	0.002	73	69	16
WP_011045527.1,AAZ26842.1	pyruvate dehydrogenase (acetyl-transferring), homodimeric type [Colwellia psychrerythraea],pyruvate dehydrogenase complex, E1 component, pyruvate dehydrogenase [Colwellia psychrerythraea 34H]	0.685	381	0.002	73	73	17
AAZ26086.1,WP_011041895.1,sp|Q487G4.1|NAPA_COLP3	periplasmic nitrate reductase, large subunit [Colwellia psychrerythraea 34H],nitrate reductase catalytic subunit NapA [Colwellia psychrerythraea],RecName: Full=Periplasmic nitrate reductase; Flags: Precursor	0.770	376	0.002	75	75	18
AAZ27350.1,WP_011041456.1,CAY34444.1	GTP-binding protein TypA [Colwellia psychrerythraea 34H],translational GTPase TypA [Colwellia psychrerythraea],unnamed protein product [Colwellia psychrerythraea 34H]	0.823	374	0.002	60	60	19
WP_011041578.1,AAZ24281.1,sp|Q488N6.1|GLYA1_COLP3	MULTISPECIES: serine hydroxymethyltransferase [Colwellia],serine hydroxymethyltransferase [Colwellia psychrerythraea 34H],RecName: Full=Serine hydroxymethyltransferase 1; Short=SHMT 1; Short=Serine methylase 1	0.809	374	0.004	38	36	20
sp|Q485G9.1|EFTS_COLP3,WP_011042390.1,AAZ28329.1	RecName: Full=Elongation factor Ts; Short=EF-Ts,MULTISPECIES: translation elongation factor Ts [Colwellia],translation elongation factor Ts [Colwellia psychrerythraea 34H]	0.904	368	0.005	48	48	21
AAZ27953.1,WP_011043690.1	isocitrate dehydrogenase, NADP-dependent [Colwellia psychrerythraea 34H],NADP-dependent isocitrate dehydrogenase [Colwellia psychrerythraea]	0.766	366	0.002	67	65	22
WP_011043103.1,AAZ28321.1	ribonuclease E [Colwellia psychrerythraea],ribonuclease E [Colwellia psychrerythraea 34H]	0.775	360	0.001	72	72	23
WP_011045140.1,AAZ27814.1	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA [Colwellia psychrerythraea],bifunctional putA protein [Colwellia psychrerythraea 34H]	0.610	353	0.001	81	81	24
sp|Q47XA7.1|HTPG_COLP3,WP_011044649.1,AAZ28374.1	RecName: Full=Chaperone protein HtpG; AltName: Full=Heat shock protein HtpG; AltName: Full=High temperature protein G,molecular chaperone HtpG [Colwellia psychrerythraea],chaperone protein HtpG [Colwellia psychrerythraea 34H]	0.708	348	0.002	56	56	25
AAZ28625.1,WP_011043608.1	NAD-glutamate dehydrogenase family protein [Colwellia psychrerythraea 34H],MULTISPECIES: NAD-glutamate dehydrogenase [Colwellia]	0.572	346	8.59e-4	87	86	26
WP_011042792.1,AAZ24203.1	outer membrane beta-barrel protein [Colwellia psychrerythraea],putative OmpA family protein [Colwellia psychrerythraea 34H]	0.717	328	0.001	67	67	27
sp|Q482S1.1|SUCC_COLP3,WP_011043040.1,AAZ27906.1	RecName: Full=Succinate--CoA ligase [ADP-forming] subunit beta; AltName: Full=Succinyl-CoA synthetase subunit beta; Short=SCS-beta,MULTISPECIES: ADP-forming succinate--CoA ligase subunit beta [Colwellia],succinyl-CoA synthase, beta subunit [Colwellia psychrerythraea 34H]	0.737	322	0.003	32	32	28
AAZ24141.1,WP_011043891.1	polyunsaturated fatty acid synthase PfaA [Colwellia psychrerythraea 34H],type I polyketide synthase [Colwellia psychrerythraea]	0.559	318	4.62e-4	99	99	29
sp|Q47XL7.1|TIG_COLP3,AAZ24013.1,WP_011044539.1	RecName: Full=Trigger factor; Short=TF; AltName: Full=PPIase,trigger factor [Colwellia psychrerythraea 34H],trigger factor [Colwellia psychrerythraea]	0.738	317	0.003	46	46	30
WP_011043567.1,AAZ24151.1	MULTISPECIES: alanine dehydrogenase [Colwellia],alanine dehydrogenase [Colwellia psychrerythraea 34H]	0.933	302	0.003	31	31	31
sp|Q47UV8.1|RL7_COLP3,WP_011045495.1,AAZ26101.1	RecName: Full=Large ribosomal subunit protein bL12; AltName: Full=50S ribosomal protein L7/L12,MULTISPECIES: 50S ribosomal protein L7/L12 [Colwellia],ribosomal protein L7/L12 [Colwellia psychrerythraea 34H]	0.891	300	0.010	19	19	32
WP_011043036.1,AAZ25640.1	MULTISPECIES: succinate dehydrogenase flavoprotein subunit [Colwellia],succinate dehydrogenase, flavoprotein subunit [Colwellia psychrerythraea 34H]	0.697	298	0.002	55	55	33
WP_011045243.1,AAZ25753.1,sp|Q47VL0.1|MDH_COLP3	MULTISPECIES: malate dehydrogenase [Colwellia],malate dehydrogenase [Colwellia psychrerythraea 34H],RecName: Full=Malate dehydrogenase	0.981	295	0.004	31	31	34
AAZ26115.1,WP_011043038.1	2-oxoglutarate dehydrogenase, E1 component [Colwellia psychrerythraea 34H],2-oxoglutarate dehydrogenase E1 component [Colwellia psychrerythraea]	0.576	294	0.001	62	62	35
